ID,iExec,FO,IterAlvo,TotalIter,Tempo
0-200.0.95.0.0.0.005,0,15079,4060,5060,2.946707791
0-200.0.95.0.0.0.005,1,15099,3207,4207,2.437319748
0-200.0.95.0.0.0.005,2,15084,2662,3662,2.146091184
0-200.0.95.0.0.0.005,3,15078,4089,5089,2.967411909
0-200.0.95.0.0.0.005,4,15080,3744,4744,2.800564598
0-200.0.95.0.0.0.005,5,15078,4475,5475,3.151462238
0-200.0.95.0.0.0.005,6,15083,2909,3909,2.269428641
0-200.0.95.0.0.0.005,7,15088,3129,4129,2.409620013
0-200.0.95.0.0.0.005,8,15078,5156,6156,3.558926837
0-200.0.95.0.0.0.005,9,15081,3609,4609,2.677540691
